state_code,latitude,longitude,zip_code,city,name,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
CA,42.35888,-71.05682,92101,San Diego,Bandsintown,c:6669,0,1,0,0,0,0,1.0,0,acquired
CA,37.238916,-121.973718,95032,Los Gatos,TriCipher,c:16283,1,0,0,1,1,1,4.75,1,acquired
CA,32.901049,-117.192656,92121,San Diego,Plixi,c:65620,0,0,1,0,0,0,4.0,1,acquired
CA,37.320309,-122.05004,95014,Cupertino,Solidcore Systems,c:42668,0,0,0,1,1,1,3.3333,1,acquired
CA,37.779281,-122.419236,94105,San Francisco,Inhale Digital,c:65806,1,1,0,0,0,0,1.0,1,closed
CA,37.406914,-122.09037,94043,Mountain View,Matisse Networks,c:22898,0,0,0,1,0,0,3.0,1,closed
CA,37.3915589,-122.0702643,94041,Mountain View,RingCube Technologies,c:16191,1,0,1,1,0,0,1.6667,1,acquired
CA,38.057107,-122.513742,94901,San Rafael,ClairMail,c:5192,0,0,1,1,0,1,3.5,1,acquired
MA,42.712207,-73.203599,1267,Williamstown,VoodooVox,c:1043,1,0,1,0,0,1,4.0,1,acquired
CA,37.427235,-122.145783,94306,Palo Alto,Doostang,c:498,1,1,1,0,0,0,1.0,1,acquired
CA,37.4429885,-122.1624131,94025,Menlo Park,Zong,c:3949,0,0,1,1,0,0,1.0,1,acquired
CA,37.452992,-122.185098,94025,Menlo Park,Center'd,c:4829,1,1,1,0,0,0,1.75,1,closed
KY,38.241467,-85.72451099999998,40204,Louisville,Resonant Vibes,c:30290,1,0,0,0,0,0,1.0,0,closed
NY,40.70276,-73.98666800000002,11201,Brooklyn,drop.io,c:1491,0,0,1,1,1,0,2.3333,1,acquired
CO,39.74627279999999,-104.9911572,80202,Denver,Stratavia,c:15645,0,0,1,1,0,0,2.5,1,acquired
VA,38.901301,-77.265158,22182,Vienna,Invicta Networks,c:54177,1,0,0,0,0,0,1.0,0,closed
CA,37.39628270000001,-122.105531,94022,Los Altos,QSecure,c:16770,1,0,1,1,1,1,3.5,1,closed
CA,37.590339,-122.341715,94010,Burlingame,MeeVee,c:107,0,0,1,1,1,1,3.5,1,acquired
NY,40.730646,-73.986614,10004,New York,SinglePlatform,c:50727,0,1,1,0,0,0,5.0,1,acquired
CA,37.446411,-122.16054,94301,Palo Alto,Bling Nation,c:26368,0,0,1,1,0,0,1.0,1,closed
TX,30.2350399,-97.80012990000002,78735,Austin,Metreos Corporation,c:22291,0,1,1,0,0,0,1.5,0,acquired
WA,47.6026054,-122.2848651,98122,Seattle,Hidden City Games,c:17857,0,0,0,1,0,0,2.0,1,closed
CA,37.426316,-122.141082,94306,Palo Alto,Neopolitan Networks,c:15888,0,0,1,0,0,0,2.0,0,closed
CA,37.764395,-122.401024,94103,San Francisco,Pixelpipe,c:10751,0,1,1,0,0,0,2.0,0,closed
CO,40.010492,-105.276843,80302,Boulder,EventVue,c:458,0,1,1,0,0,0,4.5,1,closed
IL,41.875555,-87.624421,60601,Chicago,BridgePort Networks,c:45525,0,0,0,0,1,0,4.0,1,acquired
CA,37.429676,-122.1085482,94303,Palo Alto,Scalent Systems,c:3193,0,0,0,0,1,0,4.0,1,acquired
CA,37.870102,-122.268136,94704,Berkeley,IQ Engines,c:28456,0,0,0,1,0,0,2.0,1,acquired
TX,30.2653441,-97.7435857,78701,Austin,"RetailMeNot, Inc.",c:36920,1,0,1,0,1,0,1.75,1,acquired
CA,33.708708,-117.852069,92705,Santa Ana,Mophie,c:35712,1,0,0,0,0,0,2.0,1,acquired
CA,37.422859,-122.045217,94035,Moffett Field,Airship Ventures,c:21492,0,0,1,1,0,0,2.0,1,closed
WA,47.603832,-122.330062,98119,Seattle,Lockdown Networks,c:28768,1,0,0,1,0,0,1.5,1,acquired
NC,36.002893,-78.904075,27701,Durham,eMinor,c:27741,0,0,1,1,0,0,2.5,1,closed
CA,37.779281,-122.419236,94105,San Francisco,Karma,c:150658,1,0,0,0,0,0,5.0,1,acquired
PA,40.441694,-79.990086,15219,Pittsburgh,Zipano,c:34338,0,1,0,0,0,0,1.0,0,closed
NY,40.73901,-73.997259,10011,New York,Entertainment Media Works,c:45111,0,0,0,1,0,0,1.0,1,closed
CA,37.791137,-122.391843,94111,San Francisco,Elastra,c:3178,0,0,1,1,0,0,2.0,1,closed
CA,37.404788,-121.940842,95134,San Jose,RPO,c:35402,0,0,0,1,1,0,4.5,1,closed
CA,37.7795014,-122.3948712,94107,San Francisco,Fotomoto,c:22856,0,1,1,0,0,0,2.3333,1,acquired
NY,40.755446,-73.980246,10010,New York,Peer39,c:1224,1,1,1,1,1,0,2.75,1,acquired
GA,33.756806,-84.392198,30303,Atlanta,Vitrue,c:1234,0,0,1,1,1,0,3.0,1,acquired
NH,42.99564,-71.454789,3101,Manchester,Trendslide,c:149809,0,1,0,0,0,0,1.0,0,acquired
CA,40.01573320000001,-105.275027,94025,Menlo Park,PublicEarth,c:13733,1,0,1,0,0,0,1.0,1,closed
WA,47.63609,-122.327028,98102,Seattle,Azaleos,c:39106,0,0,0,0,1,0,2.0,1,acquired
CA,37.4049731,-122.0323525,94089,Sunnyvale,Efficient Frontier,c:5306,0,0,0,0,1,0,3.0,1,acquired
CA,37.36883,-122.03635,94085,Sunnyvale,NetDevices,c:16303,0,0,0,1,0,0,5.0,1,acquired
NY,40.730646,-73.986614,100011,New York,Go Try It On,c:43188,0,1,1,0,0,0,2.0,1,acquired
MA,42.3751,-71.105616,2139,Cambridge,Performable,c:33507,0,0,1,0,0,0,1.0,1,acquired
CA,37.779281,-122.419236,94607,San Francisco,Appstores.com,c:68157,0,1,0,0,0,0,9.5,1,acquired
CA,37.560781,-122.284114,94404,San Mateo,Fortify Software,c:2395,0,0,0,0,0,1,2.0,1,acquired
CA,37.658313,-122.391032,94080,South San Francisco,iCurrent,c:38220,0,0,1,0,0,0,1.0,1,acquired
MA,42.360253,-71.058291,2210,Boston,AisleBuyer,c:49815,0,0,0,0,0,0,1.0,1,acquired
TX,30.321464,-97.75501,78731,Austin,Indeed,c:249,0,0,1,0,0,0,3.0,1,acquired
MA,42.37564,-71.2358,2451,Waltham,Colubris Networks,c:22027,1,0,0,0,0,1,5.0,1,acquired
CA,37.7870842,-122.4038047,94103,San Francisco,Mashery,c:109,1,1,1,1,1,1,5.0,1,acquired
CA,37.441537,-122.158332,94301,Palo Alto,Transparency Software,c:43948,1,0,1,0,0,0,2.0,1,closed
CA,37.445586,-122.161929,95128,Palo Alto,Viewdle,c:765,1,0,1,1,0,0,2.0,1,acquired
CA,33.5842816,-117.7306817,92656,Aliso Viejo,Enclarity,c:19257,0,0,0,0,1,0,2.0,1,acquired
CA,37.402773,-122.052551,94089,Sunnyvale,Virsto Software,c:25827,0,0,1,1,0,0,3.3333,1,acquired
MO,39.103151,-94.581908,64106,Kansas City,Handmark,c:5932,0,0,1,1,0,0,4.5,1,acquired
MA,42.546483,-71.17366700000002,1887,Wilmington,Viacor,c:35157,0,0,0,1,0,0,2.0,1,closed
CA,37.805289,-122.404448,94111,San Francisco,Carbonetworks,c:8596,0,0,1,0,0,0,1.0,1,closed
WA,47.675489,-122.191667,98033-6314,Kirkland,SchemaLogic,c:19861,1,0,0,0,1,0,3.0,1,acquired
FL,27.951849,-82.456397,33609,Tampa,Skyway Software,c:45114,1,0,0,0,0,0,3.0,0,closed
MA,42.360253,-71.058291,02111-1720,Boston,CardStar,c:23533,0,0,1,0,0,0,3.0,1,acquired
CA,37.7831775,-122.3086191,94501,Alameda,Makani Power,c:25325,0,0,0,1,0,0,1.0,1,acquired
WA,47.765758,-122.184304,98011,Bothell,Myrio,c:8351,1,0,0,0,0,0,4.0,1,closed
CO,40.730646,-73.986614,80302,Boulder,Intela,c:10392,1,0,0,0,0,0,2.0,0,acquired
CA,37.54763,-122.307887,94403-1855,San Mateo,Sana Security,c:26128,0,0,0,0,0,0,2.0,1,acquired
CA,37.790485,-122.40094,94104,San Francisco,Sportgenic,c:2808,0,1,1,1,0,0,3.3333,1,acquired
CA,37.7870923,-122.3999719,94105,San Francisco,Lolapps,c:10581,0,0,1,0,0,0,3.0,1,acquired
CA,37.3492097,-122.0326019,94087,Sunnyvale,Behavio,c:190214,0,1,0,0,0,0,1.0,0,acquired
FL,28.098905,-82.400087,33626,Tampa,Infinity Box,c:1674,0,1,0,0,0,0,1.5,1,acquired
CA,37.779026,-122.40184,94103,San Francisco,adBrite,c:170,0,0,1,1,1,1,1.6667,1,acquired
TX,32.9583632,-96.8215658,75001,Dallas,Texert,c:27740,0,0,1,0,0,0,1.0,1,closed
CA,37.54827,-121.988572,94538,Fremont,Mendocino Software,c:46186,1,0,0,1,0,0,4.0,1,closed
CA,37.354469,-121.990433,95051,Santa Clara,QuikCycle,c:43162,1,0,0,0,0,0,1.0,1,closed
